,Company,Title,Description,Location,Salary
0,"

    Accenture",Accenture Big Data Engineer Consultant/Manager,"
                            Accenture Big Data Engineer Consultant/Manager, Australia. O Enterprise Data Warehouse / Data Lake architectures....",Sydney NSW,
1,"
    Altis Consulting",Junior Data Engineer,"
            Junior Data Engineer. Are interested in Big Data? Are you someone who loves data and turning information into actionable insights for end users?...",Sydney NSW,
2,"
    Altis Consulting Pty Ltd",Junior Data Engineer,"
            Junior Data Engineer. Are interested in Big Data? Are you someone who loves data and turning information into actionable insights for end users?...",Sydney NSW,
3,"
    Atlis Consulting",Junior Data Engineer,"
            Junior Data Engineer. Are interested in Big Data? Are you someone who loves data and turning information into actionable insights for end users?...",Sydney NSW,
4,"
    Datalicious",Data Engineer,"
            Strong background working on large scale Data Warehousing and Data processing solutions. Our team of marketing data specialists offer a wide range of skills...",North Sydney NSW,"<span class=""no-wrap"">
                $80,000 - $130,000 a year</span>"
5,"
Data Republic",Big Data Engineer,"
            About Data Republic. That’s just open data. There are many problems to be solved around identity management, data analysis, data discovery, and platform...",Sydney NSW,
6,"

    Macquarie Group Limited",Hadoop Data Engineer,"
            Help build our next generation data management platform and expand upon our data management capabilities. Implement data workflows and ETL processes....",Sydney NSW,
7,"

    nbn™",Senior Data Engineer,"
            We are looking for an individual who has proven domain experience in data ingestion and big data processing design to deal with the volume, variety, value,...",Melbourne VIC,
8,"

    ThoughtWorks",Senior Data Engineer,"
            As a Data Engineer, you will develop modern data architectural approaches to meet key business objectives and provide end to end data solutions....",Melbourne VIC,
9,"

    Queensland Rail",Senior Data Engineer,"
            PN71973 - Senior Data Engineer.pdf. A vacancy currently exists for an experienced Senior Data Engineer to join the team and become involved in a range of new...",Brisbane QLD,"<span class=""no-wrap"">
                $113,034 - $121,228 a year</span>"
10,"

    IBM",Big Data Engineer - Data Analytics SME (Syd/Mel),"
            BigData Engineer - Data Analytics SME. What Does an IBM Data Engineer Opportunity Offer? Apply methods, technologies and techniques that address data...",St Leonards NSW,
11,"
    VGW",Big Data Engineer,"
            We need a junior data engineer to join our Data and Analytics team to build cutting-edge data products using open-source and AWS serverless big data tech for...",Perth WA,
12,"

    Axiom Technologies",Network Data Engineer- Perth,"
            Axiom Technologies Australia, is a Melbourne based entity with the history of providing Managed IT solutions to medium to large scale enterprises, across ANZ...",Perth WA,
13,"
    Melbourne IT Group",Data Engineer,"
Data and Analytics. This is an opportunity for you to join one of Australia's leading Data and Analytics consultancies, where you will be providing technical...",Melbourne VIC,
14,"
    Servian",Data Engineer,"
Data & Analytics - BI/DW, Big Data Analytics, Data Engineering, Data Science and Advanced Analytics. You will also bring skills in Big Data technologies and...",Melbourne VIC,
15,"

    Teradata",Data Engineer,"
            Additionally the Senior Data Engineer assists Think Big Analytics establish thought leadership in the big data industry by contributing white papers, technical...",Sydney NSW,
16,"

    DigitasLBi",Data Engineer,"
Data extraction from structured/unstructured sources; The creative use of data / data sources is a must, the candidate should have not only a strong analytical...",Sydney NSW,
17,"

    SAI Global",Big Data Engineer,"
            The Big Data Engineer responsibilities will include:. Understanding of Master Data Management, Data Quality and Meta Data Management....",Sydney NSW,
18,"

    Australia Post",Senior Data Engineer,"
            Improve the quality of internal, authoritative data stores and data sets used in our analytical solutions....",Victoria,
19,"
    VGW",Data Engineer,"
            We’re looking for a junior data engineer to ensure the efficient and accurate flow of data from internal and external sources for the VGW data and analytics...",Perth WA,
20,"

    Envato",Data Engineer,"
            You’ll be providing solutions to integrate data from internal and external data sources into the central data repository as well as the processing and modelling...",Melbourne VIC,
