,Company,Title,Description,Location,Salary
0,ignite,Reporting Analyst -Parramatta-12 month Contract,"
                            Experience with Data / Process Analysis. I am looking for a Reporting Analayst to join a Large Telco Organisation in Parramatta on a 12 month + daily rate...",Sydney NSW,"<span class=""no-wrap"">
                $50 - $55 an hour</span>"
1,Ignite,Business Analyst,"
                            Junior-Mid level Business Analyst. If you are a junior to mid-level Business Analyst, please APPLY NOW. This role would be ideal for Business Analysts with 2-5...",Sydney NSW,"<span class=""no-wrap"">
                $600 - $700 a day</span>"
2,Black Cat Data,Data Scientist Intern,"
                            Passionate about data science, big data and AI. Data Science technology. Managing the backend systems and importing new data....",Sydney NSW,
3,University of New South Wales,Data Analyst,"
            The Data Analyst will coordinate the statistical design, analysis and reporting of epidemiological studies and execute data cleaning and data management...",Kensington NSW,"<span class=""no-wrap"">
                $82,417 - $87,919 a year</span>"
4,Winning Group,Junior Data Analyst,"
            Assistance with data analysis via mathematical/statistical modelling. We have an exciting opportunity for a passionate graduate to join our Research and...",Sydney NSW,
5,Westpac Group,Data Analyst,"
            The role will focus on advanced data analysis, data modelling and data presentation (which may include Teradata environment) with some requirement gathering and...",Sydney Central Business District NSW,
6,Alpha People,Database Analyst,"
            Source to target mapping and data analysis. Handles and leads the most complex or critical data management initiatives that typically involve multiple...",Melbourne VIC,"<span class=""no-wrap"">
                $60,000 - $70,000 a year</span>"
7,Deloitte,Junior Business Analyst,"
            Junior Business Analyst. Compiling various data reports. Ability to work with partners and with highly confidential partner data....",Sydney NSW,
8,Macquarie Group Limited,Junior Analyst,"
            The candidate will need the ability to engage with stakeholders, gather data and then produce concise analysis....",Sydney NSW,
9,Healthdirect Australia,Junior-Data-and-Reporting-Analyst,"
            The Data Analyst extracts, analyses and interprets data received from external service providers and relevant internal sources, creating regular and ad hoc...",Sydney Central Business District NSW,
10,International Institute of Data & Analytics,Junior Data Analyst/Scientist,"
            In data science and big data analytics, the IDA creates enablers for:. The International Institute of Data & Analytics (IDA) is a not-for-profit hi-tech...",Sydney NSW,
11,Department of Health and Human Services,Data Analyst,"
            Reporting to the Systems Manager, as Data Analyst you will assist in the management of the Restrictive Intervention Data System (RIDS) and will be responsible...",Melbourne VIC,"<span class=""no-wrap"">
                $79,955 - $90,716 a year</span>"
12,Brisbane City Council,DATA ANALYST,"
            As a Data Analyst in the Future Fleet team you’ll bring strong analytical, conceptual and problem solving skills to contribute to a customer-centric and...",Brisbane QLD,"<span class=""no-wrap"">
                $72,214 - $82,438 a year</span>"
13,ignite,Reporting Analyst -Parramatta-12 month Contract,"
                            Experience with Data / Process Analysis. I am looking for a Reporting Analayst to join a Large Telco Organisation in Parramatta on a 12 month + daily rate...",Sydney NSW,"<span class=""no-wrap"">
                $50 - $55 an hour</span>"
14,Robert Half Australia,Business Analyst | PMO | Data Privacy & Compliance,"
                            Global leader is looking for a Business Analyst with project experience in Data Privacy & Compliance. Global leader based in Macquarie Park is currently looking...",Sydney NSW,
15,Robert Half Australia,Salesforce Business Analyst | Platform Owner,"
                            Salesforce data migration and integration experience. A national based client is looking for a Salesforce Business Analyst to join their team....",Sydney NSW,"<span class=""no-wrap"">
                $120,000 a year</span>"
16,Ironbark,Junior Data Analyst,"
            Junior Data Analyst. If you are about to graduate or are a recent Business or IT graduate and would give everything to join a young dynamic team of...",Eight Mile Plains QLD,
17,DigitasLBi,Data Analyst,"
Data Analyst - Melbourne. To help with this, we’re looking for an outstanding Data Strategist. Any Analyst can write a KPI plan, but you are experienced,...",Melbourne VIC,
18,TCS,Data Analyst,"
            Are looking to hire an experienced Data Analyst for an exciting job opportunity. We....",Sydney NSW,
19,Macquarie Group Limited,Data Analyst,"
            To be successful in this Data Analyst role, you will need:. An understanding of Enterprise Data Management and data quality concepts would be desirable....",Sydney NSW,
20,Eastern Health,Clinical Data Analyst - Intensive Care,"
            Clinical Data Analyst. Ability to work with unstructured data. In this new role the Clinical Data Analyst will collaborate with the Decision Support department...",Box Hill VIC,
21,Manpower Services (Hong Kong) Limited,Data Analyst,"
Data reports production. Our client, is seeking a capable and enthusiastic candidate to join their team....",Australia,"<span class=""no-wrap"">
                $11,000 - $13,000 a month</span>"
22,Envato,Data Science Analyst,"
            Experience with big data - a plus. As a data science analyst in the Analytics team at Envato, you will work closely with senior stakeholders, the Analytics...",Melbourne VIC,
23,Colonial First State,Analyst,"
            Working closely with the Senior Manager Business Intelligence, you will effectively consult to Wealth Management to facilitate data driven decision making...",Sydney Central Business District NSW,
24,Equifax,Analyst,"
            Extract, manipulate and analyse data in a big data platform. Analysts use their advanced data manipulation skills in the delivery of client analytic tasks....",Sydney NSW,
25,Rio Tinto,Data Scientist,"
            Develop custom analytics workflows by integrating relevant data sources and developing analytic/derived data sets through feature selection to address specific...",Brisbane QLD,
26,Ignite,Data Analyst,"
                            Ability to gather and interpret relevant data and information. Create and maintain test data required to exercise test cases....",Canberra ACT,"<span class=""no-wrap"">
                $80,000 - $90,000 a year</span>"
27,ignite,Business Systems Analyst,"
                            BA needed to identify current Data storage processes across organisation. Will do a feasibility study of existing storage of Data in multiple formats and...",Sydney NSW,"<span class=""no-wrap"">
                $700 - $770 a day</span>"
28,Robert Walters,"Application Analyst, Professional Services Firm","
                            Intermediate XML Understanding for traversing/modifying of various schema elements within the data, XPath....",Sydney NSW,"<span class=""no-wrap"">
                $125,000 - $135,000 a year</span>"
29,Gameloft,Data Tracking and Analysis Specialist,"
            Analyze data and reports generated as well as audit data integrity and correctness. With collaboration with BI analysts, identify and implement efficient data...",Brisbane QLD,
30,Arup,Analyst,"
Data extraction and collation from Ovaview; The Analyst will report to the Senior Analyst, Transport & Resources Queensland and will interface with the Group...",Brisbane QLD,
31,Transurban Group,Data Analyst,"
            You’ll be responsible for data management – possessing proven skills in the management and manipulation of data within data bases and associated statistical...",Eight Mile Plains QLD,
32,Rio Tinto,Specialist Data Analyst,"
            The Specialist Data Analyst will manage requirements and analyse data using appropriate data science techniques on a diverse range of projects across Rio Tinto....",Perth WA,
33,Youth & Programmes Group,"Data Analyst |Data Scientist - Canberra, ACT","
            To complete these investigations we use both traditional and novel data sources, including real-time labour market data derived from online job ads....",Canberra ACT,"<span class=""no-wrap"">
                $74,952 - $80,130 a year</span>"
34,Moose,"Data Analyst - Part Time, 6 Month Contract","
            Reporting to the Senior Product Manager, the Data Analyst will be fully accountable for collating data and developing reports to drive the delivery of business...",Melbourne VIC,
35,Moose Toys,"Data Analyst - Part Time, 6 Month Contract","
            Reporting to the Senior Product Manager, the Data Analyst will be fully accountable for collating and analysing data and developing reports to drive the...",Melbourne VIC,
36,Department of Family & Community Services,Reporting Analyst,"
            Reporting Analyst - 00005S1C. Demonstrated experience in Contact Centre data analytics. What relevant skills and experience do you have in identifying,...",Sydney Western Suburbs NSW,"<span class=""no-wrap"">
                $92,471 - $102,358 a year</span>"
37,Servian,Data Analysts,"
            As a Data Warehouse and BI generalist you will bring end to end experience and skills in Data Warehouse architecture, data modelling, data integration, BI and...",Melbourne VIC,
38,Creative Field Marketing Pty Ltd,Junior Sales Analyst - Google Retail Program,"
            The role will effectively help manage, collect and interpret large volumes of data from multiple sources (in house reporting platform, customer sales data etc)...",Sydney NSW,
39,Ignite,Reporting/Planning Data Analyst,"
                            Join a large telco as a Business / Reporting Data Analyst on a contract basis working closely with senior business unit representatives, other analysts and...",Melbourne VIC,"<span class=""no-wrap"">
                $450 - $550 a day</span>"
40,Ignite,Data Analyst,"
                            Ability to gather and interpret relevant data and information. Create and maintain test data required to exercise test cases....",Canberra ACT,"<span class=""no-wrap"">
                $80,000 - $90,000 a year</span>"
